,hierid,T_mean
412,CAN.3.55.1327,1.872397481322082
413,CAN.3.56.1346,2.095215357403987
414,CAN.1.12.301,5.054420437604392
415,CAN.1.16.378,3.8051074205912983
416,CAN.1.15.339,4.918396939546483
417,CAN.2.36.975,7.9175009911595
418,CAN.3.55.1325,1.9122164665885748
419,CAN.1.16.383,1.0899212501030888
420,CAN.3.58.1380,3.118652204535664
421,CAN.3.57.1363,2.9666691179128293
422,CAN.3.55.1320,2.3172804227045845
423,CAN.2.36.991,8.575142374558027
424,CAN.2.36.980,6.892805538502415
425,CAN.1.15.349,5.127396032722913
426,CAN.2.38.1015,6.880932300960069
427,CAN.2.28.728,7.624309422221529
428,CAN.9.139.2590,2.334232780487582
429,CAN.2.26.680,5.521527764773367
430,CAN.11.259.4257,0.7358155262845685
431,CAN.2.42.1078,10.152711475184702
432,CAN.3.59.1400,3.7502886805055766
433,CAN.9.167.2903,2.2088145043121585
434,CAN.1.12.305,5.860342019595407
435,CAN.2.38.1012,6.005323965951618
436,CAN.2.28.718,6.3544795667937946
437,CAN.2.36.987,8.586004022613139
438,CAN.1.15.360,5.319249860354034
439,CAN.9.167.2910,1.3740790896645194
440,CAN.2.30.782,4.270838515550537
441,CAN.11.239.3962,4.369903709310876
442,CAN.11.236.3946,3.639729007127414
443,CAN.2.25.672,4.8069950591065265
444,CAN.3.48.1261,3.129963186525771
445,CAN.3.67.1513,2.9662221365113055
446,CAN.3.69.1540,3.2065334531253598
447,CAN.2.35.966,6.4511102802721325
448,CAN.3.66.1503,3.011687202638484
449,CAN.2.35.964,5.858954024717207
450,CAN.3.64.1473,4.0147134674603535
451,CAN.9.124.2445,1.836107296592445
452,CAN.11.251.4146,3.563346002209573
453,CAN.2.22.551,9.1657412528088
454,CAN.2.38.1017,5.126323277359745
455,CAN.9.167.2895,1.7123452041363123
456,CAN.1.13.315,5.725490083315719
457,CAN.1.12.290,6.313623506257727
458,CAN.1.13.320,5.604635722502337
459,CAN.3.65.1493,2.8531170216785995
460,CAN.1.15.342,5.828512238745702
461,CAN.9.167.2879,1.3047122812290013
462,CAN.3.69.1535,3.1929593337238202
463,CAN.11.269.4451,2.6002714055548495
464,CAN.1.15.341,5.828512238745702
465,CAN.9.139.2555,3.346433926707334
466,CAN.3.68.1533,3.17971456903922
467,CAN.2.28.740,9.638854598492912
468,CAN.3.69.1542,3.011127299619943
469,CAN.1.13.312,3.646668981518303
470,CAN.9.139.2547,2.7264613127814528
471,CAN.11.269.4460,2.5857703878784264
472,CAN.9.139.2552,2.8860172053579447
473,CAN.1.13.325,5.161305453356306
474,CAN.3.53.1290,3.1569796834418753
475,CAN.2.28.738,10.272100207508402
476,CAN.3.51.1279,3.215985933498814
477,CAN.1.12.306,6.301611469227737
478,CAN.3.51.1277,3.1909455648837195
479,CAN.1.13.313,5.277160680074729
480,CAN.3.68.1530,2.405420450000321
481,CAN.2.28.711,8.373617280920342
482,CAN.11.259.4258,0.591147251087269
483,CAN.2.25.676,3.554247342903352
484,CAN.1.12.286,6.507589909143803
485,CAN.1.12.295,6.29401043286947
486,CAN.3.64.1476,3.875259975279789
487,CAN.11.269.4457,2.1970175560765433
488,CAN.1.12.287,5.956845304165313
489,CAN.2.25.674,3.554247342903352
490,CAN.3.50.1276,3.4371476258619964
491,CAN.2.28.741,9.39777165082819
492,CAN.2.28.730,9.39777165082819
493,CAN.3.70.1553,3.327999472698423
494,CAN.2.28.736,8.712384485068583
495,CAN.11.259.4281,0.7687062998292618
496,CAN.9.139.2589,3.0910710995333943
497,CAN.3.50.1275,3.404875568678051
498,CAN.9.139.2557,3.2020224697713076
499,CAN.3.68.1521,2.8826295568416924
500,CAN.1.12.298,6.0851783695849235
501,CAN.1.1.1,6.236187507259558
502,CAN.3.67.1517,3.022734700854812
503,CAN.1.1.2,6.393492025093451
504,CAN.1.12.299,6.383987788978686
505,CAN.1.13.317,5.534960732153337
506,CAN.9.124.2432,1.710439651846002
507,CAN.9.167.2886,2.211082346790647
508,CAN.2.28.739,6.585703437845439
509,CAN.1.12.304,6.588996985013807
510,CAN.9.139.2544,2.7167853417069807
511,CAN.11.259.4276,1.1044740235204245
512,CAN.9.167.2889,1.5064985061062544
513,CAN.2.28.726,8.511384006443905
514,CAN.2.28.714,8.61810434483715
515,CAN.3.67.1514,3.0768288605632392
516,CAN.2.25.677,3.554247342903352
517,CAN.1.12.291,6.204033076760254
518,CAN.3.65.1489,2.9534761089694257
519,CAN.9.124.2437,1.7045065618752346
520,CAN.9.139.2576,3.2795137533111074
521,CAN.1.7.172,1.4849704702932627
522,CAN.3.59.1401,3.4896985234686326
523,CAN.9.139.2582,3.2421225828144884
524,CAN.9.139.2586,3.507927130779322
525,CAN.3.70.1554,3.164950067589757
526,CAN.9.139.2591,2.755054007270701
527,CAN.3.67.1512,3.405854222694188
528,CAN.2.28.725,8.163639533727775
